2023-05-01;FI;1234.56
2023-05-01;SI;789.12
2023-05-01;LU;432.10
2023-05-02;FI;987.65
2023-05-02;SI;543.21
2023-05-02;AR;246.80
2023-05-03;FI;4321.98
2023-05-03;SI;8765.43
2023-05-03;AR;1357.91
2023-05-04;LU;951.35
2023-05-04;AR;3579.24
2023-05-04;PI;468.13
2023-05-05;PI;579.24
2023-05-05;AR;159.37
2023-05-05;SI;267.49
2023-05-06;PI;364.50
2023-05-06;SI;785.12
2023-05-06;AR;952.61
2023-05-07;LU;546.27
2023-05-07;SI;382.71
2023-05-07;PI;958.46
2023-05-08;FI;632.48
2023-05-08;SI;1234.56
2023-05-08;LU;789.12
2023-05-09;FI;987.65
2023-05-09;SI;543.21
2023-05-09;AR;246.80
2023-05-10;FI;4321.98
2023-05-10;SI;8765.43
2023-05-10;AR;1357.91
2023-05-11;LU;951.35
2023-05-11;AR;3579.24
2023-05-11;PI;468.13
2023-05-12;PI;579.24
2023-05-12;AR;159.37
2023-05-12;SI;267.49
2023-05-13;PI;364.50
2023-05-13;SI;785.12
2023-05-13;AR;952.61
2023-05-14;LU;546.27
2023-05-14;SI;382.71
2023-05-14;PI;958.46
2023-05-15;FI;632.48
2023-05-15;SI;1234.56
2023-05-15;LU;789.12
2023-05-16;FI;987.65
2023-05-16;SI;543.21
2023-05-16;AR;246.80
2023-05-17;FI;4321.98
2023-05-17;SI;8765.43
2023-05-17;AR;1357.91
